TIMESTAMP;SYMBOL;ACTION;PRICE;SL;TP;RISK;COMMENT
2025-08-08T04:30:00Z;EURUSD;SELL;1.16580;1.16730;1.16280;0.5;test_sell
2025-08-08T04:45:00Z;EURUSD;SELL;1.16573;1.16723;1.16273;0.5;test_sell
2025-08-08T05:00:00Z;EURUSD;BUY;1.16594;1.16444;1.16894;0.5;test_buy
2025-08-08T05:15:00Z;EURUSD;BUY;1.16616;1.16466;1.16916;0.5;test_buy
2025-08-08T05:30:00Z;EURUSD;BUY;1.16624;1.16474;1.16924;0.5;test_buy
2025-08-08T05:45:00Z;EURUSD;SELL;1.16609;1.16759;1.16309;0.5;test_sell
2025-08-08T06:00:00Z;EURUSD;SELL;1.16593;1.16743;1.16293;0.5;test_sell
2025-08-08T06:15:00Z;EURUSD;SELL;1.16590;1.16740;1.16290;0.5;test_sell
2025-08-08T06:30:00Z;EURUSD;SELL;1.16585;1.16735;1.16285;0.5;test_sell
2025-08-08T06:45:00Z;EURUSD;BUY;1.16598;1.16448;1.16898;0.5;test_buy
2025-08-08T07:00:00Z;EURUSD;BUY;1.16608;1.16458;1.16908;0.5;test_buy
2025-08-08T07:15:00Z;EURUSD;SELL;1.16590;1.16740;1.16290;0.5;test_sell
2025-08-08T07:30:00Z;EURUSD;BUY;1.16598;1.16448;1.16898;0.5;test_buy
2025-08-08T07:45:00Z;EURUSD;SELL;1.16583;1.16733;1.16283;0.5;test_sell
2025-08-08T08:00:00Z;EURUSD;SELL;1.16531;1.16681;1.16231;0.5;test_sell
2025-08-08T08:15:00Z;EURUSD;SELL;1.16441;1.16591;1.16141;0.5;test_sell
2025-08-08T08:30:00Z;EURUSD;SELL;1.16420;1.16570;1.16120;0.5;test_sell
2025-08-08T08:45:00Z;EURUSD;SELL;1.16411;1.16561;1.16111;0.5;test_sell
2025-08-08T09:00:00Z;EURUSD;BUY;1.16466;1.16316;1.16766;0.5;test_buy
2025-08-08T09:15:00Z;EURUSD;BUY;1.16475;1.16325;1.16775;0.5;test_buy
2025-08-08T09:30:00Z;EURUSD;SELL;1.16473;1.16623;1.16173;0.5;test_sell
