TIMESTAMP;SYMBOL;ACTION;PRICE;SL;TP;RISK;COMMENT
2025-10-02T04:30:00Z;EURUSD;BUY;1.17365;1.17215;1.17665;0.5;test_buy
2025-10-02T04:45:00Z;EURUSD;BUY;1.17389;1.17239;1.17689;0.5;test_buy
2025-10-02T05:00:00Z;EURUSD;BUY;1.17420;1.17270;1.17720;0.5;test_buy
2025-10-02T05:15:00Z;EURUSD;SELL;1.17389;1.17539;1.17089;0.5;test_sell
2025-10-02T05:30:00Z;EURUSD;SELL;1.17382;1.17532;1.17082;0.5;test_sell
2025-10-02T05:45:00Z;EURUSD;SELL;1.17370;1.17520;1.17070;0.5;test_sell
2025-10-02T06:00:00Z;EURUSD;BUY;1.17382;1.17232;1.17682;0.5;test_buy
2025-10-02T06:15:00Z;EURUSD;SELL;1.17368;1.17518;1.17068;0.5;test_sell
2025-10-02T06:30:00Z;EURUSD;SELL;1.17327;1.17477;1.17027;0.5;test_sell
2025-10-02T06:45:00Z;EURUSD;BUY;1.17348;1.17198;1.17648;0.5;test_buy
2025-10-02T07:00:00Z;EURUSD;SELL;1.17339;1.17489;1.17039;0.5;test_sell
2025-10-02T07:15:00Z;EURUSD;SELL;1.17339;1.17489;1.17039;0.5;test_sell
2025-10-02T07:30:00Z;EURUSD;SELL;1.17313;1.17463;1.17013;0.5;test_sell
2025-10-02T07:45:00Z;EURUSD;BUY;1.17344;1.17194;1.17644;0.5;test_buy
2025-10-02T08:00:00Z;EURUSD;SELL;1.17302;1.17452;1.17002;0.5;test_sell
2025-10-02T08:15:00Z;EURUSD;BUY;1.17313;1.17163;1.17613;0.5;test_buy
2025-10-02T08:30:00Z;EURUSD;BUY;1.17348;1.17198;1.17648;0.5;test_buy
2025-10-02T08:45:00Z;EURUSD;BUY;1.17357;1.17207;1.17657;0.5;test_buy
2025-10-02T09:00:00Z;EURUSD;BUY;1.17419;1.17269;1.17719;0.5;test_buy
2025-10-02T09:15:00Z;EURUSD;SELL;1.17388;1.17538;1.17088;0.5;test_sell
2025-10-02T09:30:00Z;EURUSD;SELL;1.17374;1.17524;1.17074;0.5;test_sell
2025-10-02T09:45:00Z;EURUSD;BUY;1.17428;1.17278;1.17728;0.5;test_buy
2025-10-02T10:00:00Z;EURUSD;BUY;1.17512;1.17362;1.17812;0.5;test_buy
2025-10-02T10:15:00Z;EURUSD;SELL;1.17469;1.17619;1.17169;0.5;test_sell
2025-10-02T10:30:00Z;EURUSD;BUY;1.17531;1.17381;1.17831;0.5;test_buy
2025-10-02T10:45:00Z;EURUSD;SELL;1.17500;1.17650;1.17200;0.5;test_sell
2025-10-02T11:00:00Z;EURUSD;BUY;1.17514;1.17364;1.17814;0.5;test_buy
2025-10-02T11:15:00Z;EURUSD;BUY;1.17552;1.17402;1.17852;0.5;test_buy
2025-10-02T11:30:00Z;EURUSD;SELL;1.17499;1.17649;1.17199;0.5;test_sell
2025-10-02T11:45:00Z;EURUSD;BUY;1.17538;1.17388;1.17838;0.5;test_buy
2025-10-02T12:00:00Z;EURUSD;BUY;1.17566;1.17416;1.17866;0.5;test_buy
2025-10-02T12:15:00Z;EURUSD;SELL;1.17556;1.17706;1.17256;0.5;test_sell
2025-10-02T12:30:00Z;EURUSD;SELL;1.17540;1.17690;1.17240;0.5;test_sell
2025-10-02T12:45:00Z;EURUSD;BUY;1.17550;1.17400;1.17850;0.5;test_buy
2025-10-02T13:00:00Z;EURUSD;SELL;1.17487;1.17637;1.17187;0.5;test_sell
2025-10-02T13:15:00Z;EURUSD;BUY;1.17509;1.17359;1.17809;0.5;test_buy
2025-10-02T13:30:00Z;EURUSD;SELL;1.17479;1.17629;1.17179;0.5;test_sell
2025-10-02T13:45:00Z;EURUSD;BUY;1.17519;1.17369;1.17819;0.5;test_buy
2025-10-02T14:00:00Z;EURUSD;SELL;1.17519;1.17669;1.17219;0.5;test_sell
2025-10-02T14:15:00Z;EURUSD;SELL;1.17504;1.17654;1.17204;0.5;test_sell
2025-10-02T14:30:00Z;EURUSD;BUY;1.17532;1.17382;1.17832;0.5;test_buy
2025-10-02T14:45:00Z;EURUSD;SELL;1.17505;1.17655;1.17205;0.5;test_sell
2025-10-02T15:00:00Z;EURUSD;BUY;1.17565;1.17415;1.17865;0.5;test_buy
2025-10-02T15:15:00Z;EURUSD;SELL;1.17476;1.17626;1.17176;0.5;test_sell
2025-10-02T15:30:00Z;EURUSD;SELL;1.17407;1.17557;1.17107;0.5;test_sell
2025-10-02T15:45:00Z;EURUSD;SELL;1.17375;1.17525;1.17075;0.5;test_sell
2025-10-02T16:00:00Z;EURUSD;BUY;1.17382;1.17232;1.17682;0.5;test_buy
2025-10-02T16:15:00Z;EURUSD;BUY;1.17411;1.17261;1.17711;0.5;test_buy
2025-10-02T16:30:00Z;EURUSD;SELL;1.17259;1.17409;1.16959;0.5;test_sell
2025-10-02T16:45:00Z;EURUSD;SELL;1.17225;1.17375;1.16925;0.5;test_sell
2025-10-02T17:00:00Z;EURUSD;SELL;1.17131;1.17281;1.16831;0.5;test_sell
2025-10-02T17:15:00Z;EURUSD;BUY;1.17152;1.17002;1.17452;0.5;test_buy
2025-10-02T17:30:00Z;EURUSD;SELL;1.17102;1.17252;1.16802;0.5;test_sell
2025-10-02T17:45:00Z;EURUSD;BUY;1.17134;1.16984;1.17434;0.5;test_buy
2025-10-02T18:00:00Z;EURUSD;SELL;1.17000;1.17150;1.16700;0.5;test_sell
2025-10-02T18:15:00Z;EURUSD;SELL;1.16960;1.17110;1.16660;0.5;test_sell
2025-10-02T18:30:00Z;EURUSD;SELL;1.16929;1.17079;1.16629;0.5;test_sell
2025-10-02T18:45:00Z;EURUSD;BUY;1.16967;1.16817;1.17267;0.5;test_buy
2025-10-02T19:00:00Z;EURUSD;BUY;1.17030;1.16880;1.17330;0.5;test_buy
2025-10-02T19:15:00Z;EURUSD;BUY;1.17075;1.16925;1.17375;0.5;test_buy
2025-10-02T19:30:00Z;EURUSD;BUY;1.17089;1.16939;1.17389;0.5;test_buy
2025-10-02T19:45:00Z;EURUSD;BUY;1.17149;1.16999;1.17449;0.5;test_buy
2025-10-02T20:00:00Z;EURUSD;BUY;1.17149;1.16999;1.17449;0.5;test_buy
2025-10-02T20:15:00Z;EURUSD;BUY;1.17182;1.17032;1.17482;0.5;test_buy
2025-10-02T20:30:00Z;EURUSD;SELL;1.17169;1.17319;1.16869;0.5;test_sell
2025-10-02T20:45:00Z;EURUSD;SELL;1.17137;1.17287;1.16837;0.5;test_sell
2025-10-02T21:00:00Z;EURUSD;BUY;1.17171;1.17021;1.17471;0.5;test_buy
2025-10-02T21:15:00Z;EURUSD;BUY;1.17184;1.17034;1.17484;0.5;test_buy
2025-10-02T21:30:00Z;EURUSD;SELL;1.17184;1.17334;1.16884;0.5;test_sell
2025-10-02T21:45:00Z;EURUSD;BUY;1.17211;1.17061;1.17511;0.5;test_buy
2025-10-02T22:00:00Z;EURUSD;BUY;1.17248;1.17098;1.17548;0.5;test_buy
2025-10-02T22:15:00Z;EURUSD;SELL;1.17230;1.17380;1.16930;0.5;test_sell
2025-10-02T22:30:00Z;EURUSD;SELL;1.17196;1.17346;1.16896;0.5;test_sell
2025-10-02T22:45:00Z;EURUSD;SELL;1.17188;1.17338;1.16888;0.5;test_sell
2025-10-02T23:00:00Z;EURUSD;BUY;1.17200;1.17050;1.17500;0.5;test_buy
2025-10-02T23:15:00Z;EURUSD;SELL;1.17182;1.17332;1.16882;0.5;test_sell
2025-10-02T23:30:00Z;EURUSD;SELL;1.17159;1.17309;1.16859;0.5;test_sell
2025-10-02T23:45:00Z;EURUSD;BUY;1.17160;1.17010;1.17460;0.5;test_buy
2025-10-03T00:00:00Z;EURUSD;BUY;1.17148;1.16998;1.17448;0.5;test_buy
2025-10-03T00:15:00Z;EURUSD;BUY;1.17155;1.17005;1.17455;0.5;test_buy
2025-10-03T00:30:00Z;EURUSD;BUY;1.17181;1.17031;1.17481;0.5;test_buy
2025-10-03T00:45:00Z;EURUSD;SELL;1.17168;1.17318;1.16868;0.5;test_sell
2025-10-03T01:00:00Z;EURUSD;BUY;1.17195;1.17045;1.17495;0.5;test_buy
2025-10-03T01:15:00Z;EURUSD;SELL;1.17183;1.17333;1.16883;0.5;test_sell
2025-10-03T01:30:00Z;EURUSD;BUY;1.17204;1.17054;1.17504;0.5;test_buy
2025-10-03T01:45:00Z;EURUSD;SELL;1.17192;1.17342;1.16892;0.5;test_sell
2025-10-03T02:00:00Z;EURUSD;BUY;1.17202;1.17052;1.17502;0.5;test_buy
2025-10-03T02:15:00Z;EURUSD;BUY;1.17225;1.17075;1.17525;0.5;test_buy
2025-10-03T02:30:00Z;EURUSD;BUY;1.17250;1.17100;1.17550;0.5;test_buy
